date	Site 1	Site 2
20150911	291.59	376.09
20150925	395.4	356.05
20151023	284.02	265.24
20151113	214.78	140.88
20160516	133.19	124.73
20160614	220.3	268.69
20160718	260.49	259.75
20160824	265.8	301.84
