date	Site 1	Site 2
20150911	23.92	24.08
20150925	18.73	17.91
20151023	12.13	13.49
20151113	10.62	11
20160516	14.83	15.28
20160614	22.68	22.12
20160718	26.06	24.73
20160824	23.88	24.2
